language,model,input,prediction,regex_scorer,human_label
en,EuroLLM-1_7B-Instruct,"Which word rhymes with the word ""routine"", ""clean"" or ""champagne""?","The word that rhymes with ""routine"", ""clean"", and ""champagne"" is ""champagne"".",0,0
en,salamandra-2b-instruct,"Which is a rhyme of the word ""flower"", ""tower"" or ""cousin""?","The correct answer to this question would be: tower. The rhyming words in that sentence are flower,                                        and cousin.",0,0
en,ZharfaOpen-0309,"Write a sentence starting with ""flying"":",I love flying high above the world.,0,0
en,Qwen2_5-3B-Instruct,"Write a word whose first letter is ""u"":",Unique,1,1
en,gemma-3-1b,"What is the first letter of the word ""university""?",U,1,1
en,gemma-3-1b,"Do any of the words ""sweater"", ""cat"", ""fish"", ""car"", and ""coat"" represent fruit? Answer either ""yes"" or ""no"".",no,1,1
en,Llama-3_2-3B-Instruct,"In an alphabetical order, which word comes first, ""up"" or ""gram""?",(up) comes before (gram) in alphabetical order.,0,0
en,SmolLM2-1_7B-Instruct,"Write a word using the letter ""c"":","The word ""cat"" uses the letter ""c"".",1,1
en,SmolLM2-360M-Instruct,"Does the list [""mouse"", ""armchair"", ""dress"", ""motorcycle"", ""bus""] contain any animals? Answer either ""yes"" or ""no"".",.,0,0
en,SmolLM2-1_7B-Instruct,"Do any of the words ""couch"", ""peach"", ""cat"", ""bus"", and ""watermelon"" represent fruit? Answer either ""yes"" or ""no"".",yes,1,1
en,ZharfaOpen-0309,"Write a word starting with ""l"":",لاستیک,0,0
en,Llama-3_2-3B-Instruct,"Which is a homophone of the word ""two"", ""too"" or ""eight""?","The word ""to"" is a homophone of the word ""two"".",0,0
en,gemma-3-1b,"In an alphabetical order, which of the words ""chocolate"" and ""daily"" comes first?",chocolate.,1,1
en,salamandra-2b-instruct,"Are any of the words ""cow"", ""peach"", ""sweater"", ""shirt"", and ""tractor"" types of animals? Answer either ""yes"" or ""no"".",ustamata,0,0
en,Qwen2_5-1_5B-Instruct,"Does the list [""chicken"", ""duck"", ""mouse"", ""pig"", ""socks""] contain only animals? Answer either ""yes"" or ""no"".",^ no,1,1
en,SmolLM2-360M-Instruct,"Which word has more letters, ""pocket"" or ""anymore""?","""Anymore"" has more letters than ""pocket"".",1,1
en,salamandra-2b-instruct,"Does the list [""armchair"", ""peach"", ""pear"", ""chair"", ""car""] contain any animals? Answer either ""yes"" or ""no"".",ustamata,0,0
en,salamandra-2b-instruct,"Write a word that contains the letter ""c"":",Caterpillar,1,1
en,Qwen2_5-1_5B-Instruct,"Which word has fewer letters, ""rat"" or ""various""?","""Various"" has fewer letters than ""rat"".",0,0
en,Qwen2_5-1_5B-Instruct,"Write the last word of the sentence ""I told the story to Daniel"":",^,0,0
en,gemma-3-1b,"Of the words ""machine"" and ""when"" which one has fewer letters?",“machine” has fewer letters.,0,0
en,gemma-3-1b,"Do any of the words ""chair"", ""coat"", ""desk"", ""watermelon"", and ""dog"" represent animals? Answer either ""yes"" or ""no"".",yes,1,1
en,Qwen2_5-3B-Instruct,"Which word sounds like the word ""throne"", ""thrown"" or ""spider""?","The word that sounds like ""throne,"" ""thrown,"" or ""spider"" is ""throne.""",0,0
en,Llama-3_1-8B-Instruct,"Write a sentence without using the word ""nurse"":",The dedicated healthcare professional provided compassionate care to the patient throughout their hospital stay.,1,1
en,salamandra-2b-instruct,"Which word is shorter, ""improve"" or ""our""?",Improve is the shorter word.,0,0
en,Llama-3_2-3B-Instruct,"Write the last letter of the word ""you"":",U.,1,1
en,SmolLM2-1_7B-Instruct,"Which word has fewer letters, ""single"" or ""stadium""?",atadium,0,0
en,SmolLM2-360M-Instruct,"In the sentence ""We gave ourselves presents"", what is the last word?",.,0,0
en,gemma-3-1b,"Do the words ""chicken"", ""banana"", ""peach"", ""mango"", and ""watermelon"" all represent fruit? Answer either ""yes"" or ""no"".",yes,0,0
en,gemma-3-1b,"Write a word containing the letter ""g"":",Green,1,1
en,ZharfaOpen-0309,"Which is a rhyme of the word ""ache"", ""sunbathe"" or ""steak""?","The word ""sunbathe"" is a rhyme of the word ""ache"".",0,0
en,gemma-3-4b,"Which word rhymes with the word ""antique"", ""cheek"" or ""blue""?",Antique,0,0
en,Llama-3_1-8B-Instruct,"Which is a homophone of the word ""moose"", ""sea"" or ""mousse""?","The word ""moose"" has a homophone, which is ""moose"" itself, but another word that is often considered a homophone is ""mouse",0,0
en,SmolLM2-360M-Instruct,"In the sentence ""She was the nicest teacher in the Senior School"", which word comes right after the word ""nicest""?",.,0,0
en,Llama-3_2-3B-Instruct,"Does the list [""goat"", ""jacket"", ""mouse"", ""bus"", ""truck""] contain any items of clothing? Answer either ""yes"" or ""no"".",(no),0,0
en,SmolLM2-1_7B-Instruct,"In an alphabetical order, which word comes first, ""toy"" or ""snowboarding""?","""Snowboarding"" comes first in an alphabetical order.",1,1
en,Qwen2_5-1_5B-Instruct,"In the sentence ""Nora sent the book to Peter"", which word comes right after the word ""the""?",^,0,0
en,SmolLM2-360M-Instruct,"Of the following words, choose the word least associated with the word ""fruit"" - ""mango"", ""strawberry"", ""car"", ""watermelon"", ""apple"":",.,0,0
en,Qwen2_5-3B-Instruct,"In the sentence ""John tried to leave"", which word immediately succeeds the word ""John""?","succeeded
The word that immediately succeeds ""John"" in the sentence ""John tried to leave"" is ""tried"".",0,1
en,SmolLM2-1_7B-Instruct,"What is the first word of the sentence ""Henri will paint the floor for an hour""?","The first word of the sentence ""Henri will paint the floor for an hour"" is ""Henri"".",1,1
en,Llama-3_1-8B-Instruct,"Which word comes right before ""Bill"" in the sentence ""Terry touched Bill on the shoulder""?","The word that comes right before ""Bill"" in the sentence ""Terry touched Bill on the shoulder"" is ""touched"".",1,1
en,SmolLM2-360M-Instruct,"In an alphabetical order, which word comes first, ""drawer"" or ""change""?",.,0,0
en,Qwen2_5-3B-Instruct,"Write a sentence that ends with the word ""disks"":",She installed the new software on three disks.,1,1
en,SmolLM2-360M-Instruct,"In an alphabetical order, which of the words ""swimming"" and ""basketball"" comes first?","""Swimming"" comes first in an alphabetical order.",0,0
en,Qwen2_5-3B-Instruct,"Does the list [""bookcase"", ""apple"", ""chicken"", ""cat"", ""pineapple""] contain any items of clothing? Answer either ""yes"" or ""no"".",No,1,1
en,Llama-3_1-8B-Instruct,"Write a word ending with ""h"":",Sheath.,1,1
en,ZharfaOpen-0309,"Which word is shorter, ""tire"" or ""do""?","""Do"" is a shorter word.",0,1
en,gemma-3-4b,"Of the words ""might"" and ""onion"", which one rhymes with ""height""?",Onion.,0,0
en,salamandra-2b-instruct,"Of the two words ""night"" and ""sword"", which one sounds more like ""knight""?","The word that sounds more like ""knight"" is ""night"".",0,1
en,Qwen2_5-3B-Instruct,"Of the words ""chair"", ""bed"", ""bookcase"", ""pear"", and ""table"", what is the word least associated with ""furniture""?",spear (least associated with furniture),0,0
en,Llama-3_2-3B-Instruct,"Which word has more letters, ""ocean"" or ""jacket""?","The word ""ocean"" has 5 letters, and the word ""jacket"" has 6 letters. So, ""jacket"" has more letters",1,1
en,Llama-3_1-8B-Instruct,"What is the word most related to the word ""vehicles"" from the words ""tractor"", ""sweater"", ""shorts"", ""pants"", and ""jacket""?","The word most related to ""vehicles"" from the given options is ""tractor"". A tractor is a type of vehicle, specifically a farm vehicle.",1,1
en,ZharfaOpen-0309,"Are any of the words ""pineapple"", ""watermelon"", ""shorts"", ""bus"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".","No, none of these words represent types of animals.",0,0
en,SmolLM2-1_7B-Instruct,"Does the list [""cat"", ""sweater"", ""skirt"", ""strawberry"", ""shorts""] contain only items of clothing? Answer either ""yes"" or ""no"".",yes,0,0
en,Qwen2_5-3B-Instruct,"Of the words ""beach"" and ""against"", which word comes first alphabetically?","s against
a beach",0,0
en,SmolLM2-1_7B-Instruct,"Of the words ""coat"", ""mouse"", ""skirt"", ""dress"", and ""jeans"", what is the word least associated with ""clothes""?","at least associated with ""clothes"" is ""jeans"".",0,0
en,EuroLLM-1_7B-Instruct,"Which word has fewer letters, ""sing"" or ""tea""?","The word ""tea"" has fewer letters than ""sing.""",1,1
en,Llama-3_2-3B-Instruct,"Which number is bigger, 49 or 871?",871 is bigger.,1,1
en,ZharfaOpen-0309,"Of the words ""dinosaur"" and ""diary"" which one has fewer letters?","The word ""diary"" has fewer letters than the word ""dinosaur"".",1,1
en,gemma-3-1b,"Do any of the words ""pig"", ""desk"", ""skirt"", ""shorts"", and ""goat"" represent fruit? Answer either ""yes"" or ""no"".",no,1,1
en,gemma-3-4b,"Which word is longer, ""answer"" or ""grape""?",“Grape” is longer.,0,0
en,gemma-3-4b,"Does the list [""pineapple"", ""armchair"", ""pants"", ""jeans"", ""sweater""] contain only items of clothing? Answer either ""yes"" or ""no"".",no,1,1
en,Qwen2_5-3B-Instruct,"Are all the words ""fish"", ""armchair"", ""couch"", ""rabbit"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".","snooze
No",0,1
en,Qwen2_5-3B-Instruct,"Of the numbers 830 and 419, which is smaller?",The number 419 is smaller than 830.,1,1
en,ZharfaOpen-0309,"Of the numbers 268 and 441, which is bigger?",441 is bigger than 268.,1,1
en,gemma-3-1b,"Of the words ""next"" and ""worst"", which word comes first alphabetically?",“Next” comes first alphabetically.,0,1
en,SmolLM2-1_7B-Instruct,"Write a word whose first letter is ""r"":","The word ""run"" starts with the letter ""r"".",1,1
en,ZharfaOpen-0309,"Of the words ""pair"" and ""stadium"" which one has more letters?","The word ""pair"" has more letters than the word ""stadium"".",0,1
en,SmolLM2-1_7B-Instruct,"Write the first letter of the word ""file"":",at,0,0
en,Qwen2_5-1_5B-Instruct,"Does the list [""melon"", ""banana"", ""strawberry"", ""mango"", ""pineapple""] contain only fruit? Answer either ""yes"" or ""no"".",Yes.,1,1
en,SmolLM2-360M-Instruct,"Do the words ""table"", ""armchair"", ""dog"", ""desk"", and ""couch"" all represent furniture? Answer either ""yes"" or ""no"".",.,0,0
en,Llama-3_2-3B-Instruct,"Are all the words ""jacket"", ""coat"", ""pants"", ""goat"", and ""sweater"" types of clothing? Answer either ""yes"" or ""no"".",Yes.,0,0
en,Llama-3_2-3B-Instruct,"Are all the words ""pig"", ""mouse"", ""fish"", ""shorts"", and ""chicken"" types of animals? Answer either ""yes"" or ""no"".",(no),1,0
en,EuroLLM-1_7B-Instruct,"In an alphabetical order, which word comes first, ""those"" or ""shampoo""?","In an alphabetical order, ""those"" comes first.",0,0
en,EuroLLM-1_7B-Instruct,"Which word rhymes with the word ""generation"", ""presentation"" or ""helicopter""?","The word that rhymes with ""generation"", ""presentation"" and ""helicopter"" is ""generation"".",0,0
en,Llama-3_1-8B-Instruct,"What is the first word of the sentence ""I want him to eat asparagus""?","in the sentence ""I want him to eat asparagus"", the first word is ""I"".",1,1
en,Qwen2_5-3B-Instruct,"Write the last word of the sentence ""The oil and vinegar separated"":",suddenly,0,0
en,SmolLM2-1_7B-Instruct,"Of the words ""complete"" and ""believe"", which word comes first alphabetically?",at the beginning of the alphabet.,0,0
en,gemma-3-4b,"Write a word using the letter ""h"":",House,1,1
en,Qwen2_5-3B-Instruct,"Write a sentence not containing the word ""luck"":","succeeding requires effort, not just chance.",1,1
en,Qwen2_5-1_5B-Instruct,"Of the words ""prison"" and ""agree"", which one rhymes with ""fee""?","^ The word that rhymes with ""fee"" is ""prison"".",0,0
en,EuroLLM-1_7B-Instruct,"Write a sentence without using the word ""comfortable"":",The room was not very comfortable.,0,0
en,SmolLM2-360M-Instruct,"Write the last letter of the word ""hit"":",.,0,0
en,Llama-3_2-3B-Instruct,"Of the words ""write"" and ""chemistry"" which one has fewer letters?","(write) has 5 letters, while (chemistry) has 9 letters.",0,0
en,Qwen2_5-1_5B-Instruct,"Write a word containing the letter ""o"":",Ocean.,1,1
en,Qwen2_5-1_5B-Instruct,"Which word has more letters, ""during"" or ""boyfriend""?","""During"" has 6 letters, while ""boyfriend"" has 9 letters.",0,0
en,gemma-3-4b,"Write a sentence containing the word ""speaker"":",The speaker delivered a passionate speech about environmental conservation.,1,1
en,Llama-3_1-8B-Instruct,"Of the words ""fish"", ""dog"", ""coat"", ""pig"", and ""chicken"", what is the word least associated with ""animals""?","in the given list, the word ""coat"" is the least associated with ""animals"".",1,1
en,Llama-3_1-8B-Instruct,"From the numbers 64 and 905, write the smaller number:",The smaller number is 64.,1,1
en,ZharfaOpen-0309,"Does the list [""bus"", ""fish"", ""truck"", ""van"", ""tractor""] contain only vehicles? Answer either ""yes"" or ""no"".",no,1,1
en,SmolLM2-1_7B-Instruct,"Of the words ""sunglasses"" and ""include"", which word comes first alphabetically?","""sunglasses"" comes first alphabetically.",0,0
en,ALLaM-7B-Instruct-preview,"In an alphabetical order, which word comes first, ""over"" or ""jewelry""?","""Over"" comes first in alphabetical order.",0,0
en,Llama-3_1-8B-Instruct,"Which word rhymes with the word ""sandy"", ""farmer"" or ""candy""?","The word ""handy"" rhymes with ""sandy"", ""farmer"" and ""candy"".",0,0
en,EuroLLM-1_7B-Instruct,"Does the list [""tram"", ""car"", ""melon"", ""socks"", ""cow""] contain any vehicles? Answer either ""yes"" or ""no"".","Yes, the list [""tram"", ""car"", ""melon"", ""socks"", ""cow""] contains vehicles.",1,1
en,Llama-3_2-3B-Instruct,"Of the words ""trip"" and ""teach"", which word comes first alphabetically?","""Teach"" comes before ""trip"" alphabetically.",1,1
